Element,Crystal_Structure,Bulk_Energy_per_Atom_eV,Calculation_Date
W,bcc,-12.433745,2025-11-28T16:51:52.704805
Re,hcp,-11.802312,2025-11-28T16:51:52.704805
Ta,bcc,-11.363995,2025-11-28T16:51:52.704805
Os,hcp,-10.578986,2025-11-28T16:51:52.704805
Mo,bcc,-10.358597,2025-11-28T16:51:52.704805
Nb,bcc,-9.573111,2025-11-28T16:51:52.704805
Hf,hcp,-9.521434,2025-11-28T16:51:52.704805
Cr,bcc,-8.933752,2025-11-28T16:51:52.704805
Ru,hcp,-8.587546,2025-11-28T16:51:52.704805
V,bcc,-8.442442,2025-11-28T16:51:52.704805
Ir,fcc,-8.163996,2025-11-28T16:51:52.704805
Zr,hcp,-8.078341,2025-11-28T16:51:52.704805
Ti,hcp,-7.322661,2025-11-28T16:51:52.704805
Fe,bcc,-7.120463,2025-11-28T16:51:52.704805
Rh,fcc,-6.617286,2025-11-28T16:51:52.704805
Co,hcp,-6.236371,2025-11-28T16:51:52.704805
Y,hcp,-6.108608,2025-11-28T16:51:52.704805
Sc,hcp,-5.930844,2025-11-28T16:51:52.704805
Pt,fcc,-5.419010,2025-11-28T16:51:52.704805
Ni,fcc,-4.891029,2025-11-28T16:51:52.704805
Pd,fcc,-4.590694,2025-11-28T16:51:52.704805
Mn,materials_project_mp-754,-4.427636,2025-11-28T16:51:52.704805
Al,fcc,-3.477595,2025-11-28T16:51:52.704805
Cu,fcc,-3.245062,2025-11-28T16:51:52.704805
Au,fcc,-2.582969,2025-11-28T16:51:52.704805
In,materials_project_mp-124,-2.168602,2025-11-28T16:51:52.704805
Ag,fcc,-2.161018,2025-11-28T16:51:52.704805
Ga,materials_project_mp-139,-1.457550,2025-11-28T16:51:52.704805
Zn,hcp,-0.735727,2025-11-28T16:51:52.704805
Cd,hcp,-0.322451,2025-11-28T16:51:52.704805
Hg,hg_hcp_fallback,0.458647,2025-11-28T16:51:52.704805
